,Test Errors,Test Error Rate,Test False Positives,Train Accuracy,Train Size,Test Size,Test Accuracy,Test False Negatives
412254,18,7.75862068966,9,0.990583804143,531,232,92.2413793103,9
412255,27,12.5581395349,20,0.958823529412,510,215,87.4418604651,7
412256,20,9.09090909091,11,0.976470588235,510,220,90.9090909091,9
412311,25,14.2045454545,20,0.975369458128,406,176,85.7954545455,5
412259,27,14.2105263158,2,0.972222222222,432,190,85.7894736842,25
412315,26,15.0289017341,11,0.94540942928,403,173,84.9710982659,15
412314,20,12.1212121212,1,0.966836734694,392,165,87.8787878788,19
400291,253,26.2993762994,57,0.929243170622,2233,962,73.7006237006,196
400290,141,23.8578680203,46,0.939926739927,1365,591,76.1421319797,95
400060,74,14.5098039216,8,0.978650725875,1171,510,85.4901960784,66
400061,60,11.71875,23,0.983291562239,1197,512,88.28125,37
400062,157,24.8025276461,36,0.937373737374,1485,633,75.1974723539,121
400063,141,23.5785953177,85,0.931884057971,1380,598,76.4214046823,56
412401,2,2.46913580247,2,0.994680851064,188,81,97.5308641975,0
412400,2,2.43902439024,2,1.0,187,82,97.5609756098,0
412403,3,3.7037037037,3,1.0,187,81,96.2962962963,0
412402,2,2.43902439024,1,0.994736842105,190,82,97.5609756098,1
400068,90,21.2264150943,6,0.98001998002,1001,424,78.7735849057,84
412409,2,2.43902439024,2,0.989361702128,188,82,97.5609756098,0
412408,3,3.65853658537,2,0.973684210526,190,82,96.3414634146,1
400151,36,8.35266821346,16,0.98111332008,1006,431,91.6473317865,20
412458,2,2.5974025974,2,0.989247311828,186,77,97.4025974026,0
412452,6,7.5,3,0.994708994709,189,80,92.5,3
412453,8,9.75609756098,7,0.978835978836,189,82,90.243902439,1
412466,4,4.93827160494,4,0.994623655914,186,81,95.0617283951,0
400367,158,23.4421364985,11,0.979166666667,1584,674,76.5578635015,147
400366,242,25.0777202073,159,0.933983163491,2257,965,74.9222797927,83
400365,199,20.0807265388,108,0.955805892548,2308,991,79.9192734612,91
400364,296,34.3786295006,3,0.921851667496,2009,861,65.6213704994,293
400363,120,27.6497695853,16,0.947988223749,1019,434,72.3502304147,104
400249,117,24.6835443038,30,0.946188340807,1115,474,75.3164556962,87
400361,170,32.8820116054,5,0.946398659966,1194,517,67.1179883946,165
400360,135,22.4252491694,60,0.948005698006,1404,602,77.5747508306,75
400244,131,16.5404040404,34,0.970620239391,1838,792,83.4595959596,97
400245,193,25.2287581699,42,0.930219471019,1777,765,74.7712418301,151
400246,368,37.4364191251,9,0.938569548047,2279,983,62.5635808749,359
400247,99,12.3904881101,54,0.975427350427,1872,799,87.6095118899,45
400240,229,24.4919786096,89,0.937814357567,2187,935,75.5080213904,140
412454,4,5.19480519481,4,0.983870967742,186,77,94.8051948052,0
412411,1,1.25,1,0.963157894737,190,80,98.75,0
