,n_baseline_misclassified,null_hypothesis,better_algorithm,baseline accuracy,value,n_svm_misclassified,SVM accuracy
412255,0,3.841459,0,83.7209302326,2147483647,0,83.7209302326
412256,0,3.841459,0,94.5454545455,2147483647,0,94.5454545455
412311,4,3.841459,2,90.3409090909,0.0,3,90.9090909091
412259,1,3.841459,2,92.1052631579,0.0,2,91.5789473684
412315,7,3.841459,2,82.6589595376,0.363636363636,4,84.3930635838
412314,0,3.841459,1,86.0606060606,2147483647,0,86.6666666667
400291,112,3.841459,1,74.3243243243,15.1220930233,60,80.0415800416
400290,88,3.841459,1,71.9120135364,28.7521367521,29,81.8950930626
400060,0,3.841459,0,92.1568627451,2147483647,0,92.1568627451
400061,46,3.841459,1,84.765625,14.7540983607,15,90.8203125
400062,93,3.841459,1,71.7219589258,21.2803030303,39,80.8846761453
400063,11,3.841459,2,77.5919732441,0.0,12,77.4247491639
412401,2,3.841459,2,95.0617283951,0.5,0,97.5308641975
412400,1,3.841459,2,97.5609756098,0.5,1,97.5609756098
412403,0,3.841459,2,98.7654320988,0.5,2,96.2962962963
412402,3,3.841459,2,96.3414634146,0.25,1,98.7804878049
400068,0,3.841459,2,90.5660377358,0.0,1,90.3301886792
412409,2,3.841459,2,95.1219512195,0.5,0,97.5609756098
412408,2,3.841459,2,95.1219512195,0.5,0,97.5609756098
400151,0,3.841459,0,93.9675174014,2147483647,0,93.9675174014
412458,3,3.841459,2,94.8051948052,0.25,1,97.4025974026
412452,2,3.841459,2,93.75,0.5,0,96.25
412453,2,3.841459,2,87.8048780488,0.0,1,89.0243902439
412466,2,3.841459,2,95.0617283951,0.25,2,95.0617283951
400367,0,3.841459,0,91.8397626113,2147483647,0,91.8397626113
400366,72,3.841459,1,76.2694300518,21.8144329897,25,81.3471502591
400365,8,3.841459,1,81.5338042381,6.125,0,82.3410696266
400364,99,3.841459,1,73.5191637631,23.2071428571,41,80.2555168409
400363,68,3.841459,1,74.6543778802,32.578313253,15,86.866359447
400249,68,3.841459,1,75.1054852321,25.1022727273,20,85.4430379747
400361,60,3.841459,1,76.5957446809,25.8133333333,15,85.1063829787
400360,29,3.841459,1,81.2292358804,4.55813953488,14,83.7209302326
400244,51,3.841459,1,86.9949494949,7.48051948052,26,90.1515151515
400245,44,3.841459,1,75.9477124183,5.30882352941,24,78.954248366
400246,114,3.841459,1,72.6347914547,38.2516556291,37,80.7731434385
400247,4,3.841459,2,90.112640801,2.25,0,90.6132665832
400240,28,3.841459,2,77.3262032086,0.5,22,78.2887700535
412454,0,3.841459,2,97.4025974026,0.5,2,94.8051948052
412411,0,3.841459,0,98.75,2147483647,0,98.75
400129,93,3.841459,1,72.5326991677,25.3828125,35,79.1914387634
400093,37,3.841459,2,78.7106446777,0.367647058824,31,80.059970015
400097,74,3.841459,1,72.8515625,13.247706422,35,80.2734375
412214,7,3.841459,2,90.9407665505,0.363636363636,4,91.9860627178
412215,3,3.841459,2,93.2835820896,0.0,2,93.6567164179
412216,0,3.841459,0,89.0151515152,2147483647,0,89.0151515152
412309,1,3.841459,2,83.615819209,0.25,3,83.0508474576
412476,1,3.841459,2,98.7654320988,0.0,2,97.5308641975
412211,5,3.841459,2,95.390070922,1.5,1,96.8085106383
412212,5,3.841459,2,93.2862190813,1.5,1,94.6996466431
412213,2,3.841459,2,86.7724867725,0.0,1,87.3015873016
412199,3,3.841459,2,94.7955390335,0.0,2,95.1672862454
400392,0,3.841459,0,91.1504424779,2147483647,0,91.1504424779
412196,26,3.841459,1,78.7985865724,6.25,10,84.4522968198
412195,3,3.841459,2,94.1818181818,1.33333333333,0,95.2727272727
412194,2,3.841459,2,90.7142857143,0.5,0,91.4285714286
412193,2,3.841459,2,93.6395759717,0.0,1,93.9929328622
412192,6,3.841459,2,90.9090909091,0.0,5,91.2727272727
412191,0,3.841459,0,88.6524822695,2147483647,0,88.6524822695
412190,1,3.841459,2,85.5123674912,0.0,0,85.8657243816
400121,19,3.841459,2,87.1833084948,0.484848484848,14,88.0774962742
400289,16,3.841459,2,76.0143198091,0.592592592593,11,76.8496420048
400124,69,3.841459,1,73.0403800475,7.78703703704,39,77.0783847981
400024,112,3.841459,1,67.0033670034,39.2925170068,35,80.303030303
400025,72,3.841459,1,76.6917293233,12.1121495327,35,80.7733619764
400027,11,3.841459,2,87.3770491803,0.592592592593,16,86.5573770492
400021,40,3.841459,1,78.9793438639,4.66129032258,22,81.1664641555
400029,0,3.841459,0,90.1678657074,2147483647,0,90.1678657074
412449,3,3.841459,2,96.25,0.0,2,97.5
400147,32,3.841459,1,83.0626450116,4.6875,16,86.7749419954
412440,1,3.841459,2,87.6543209877,0.0,0,88.8888888889
400145,1,3.841459,2,88.1278538813,0.0,0,88.3561643836
400144,20,3.841459,2,85.2390852391,0.735294117647,14,85.7588357588
412445,1,3.841459,2,98.75,0.0,0,100.0
400142,3,3.841459,2,90.064516129,0.0,4,89.935483871
412447,0,3.841459,0,100.0,2147483647,0,100.0
400140,33,3.841459,1,81.4049586777,5.22448979592,16,83.2644628099
412500,0,3.841459,2,97.7777777778,0.0,1,95.5555555556
412501,0,3.841459,0,85.1851851852,2147483647,0,85.1851851852
412502,0,3.841459,0,63.6363636364,2147483647,0,63.6363636364
400321,29,3.841459,2,84.1897233202,3.84090909091,15,87.1541501976
400320,0,3.841459,0,90.6666666667,2147483647,0,90.6666666667
400326,143,3.841459,1,73.0897009967,55.4402173913,41,84.7176079734
400657,70,3.841459,1,70.9141274238,18.1855670103,27,82.8254847645
400656,0,3.841459,0,90.9356725146,2147483647,0,90.9356725146
400655,0,3.841459,0,92.1568627451,2147483647,0,92.1568627451
400654,0,3.841459,0,86.0724233983,2147483647,0,86.0724233983
400653,9,3.841459,1,83.6111111111,7.11111111111,0,85.8333333333
400652,0,3.841459,2,88.0681818182,0.0,1,87.7840909091
400651,1,3.841459,2,85.7971014493,0.0,0,86.0869565217
400198,33,3.841459,1,73.595505618,17.3333333333,6,77.3876404494
412209,7,3.841459,2,91.3978494624,0.0714285714286,7,91.3978494624
400659,0,3.841459,2,89.0207715134,0.0,1,88.7240356083
400199,118,3.841459,1,67.6392572944,20.5714285714,57,76.2599469496
400211,137,3.841459,1,71.7868338558,25.7910447761,64,79.3103448276
412398,1,3.841459,2,90.1234567901,0.0,2,88.8888888889
400216,135,3.841459,1,72.6819541376,23.805,65,79.7607178465
412393,4,3.841459,2,93.3333333333,0.8,1,96.6666666667
412392,1,3.841459,2,94.3181818182,0.5,1,94.3181818182
412395,1,3.841459,2,92.6829268293,0.0,2,91.4634146341
412394,1,3.841459,2,93.8271604938,0.0,0,95.0617283951
412397,1,3.841459,2,96.3414634146,0.25,3,93.9024390244
412396,3,3.841459,2,79.746835443,0.166666666667,3,79.746835443
412399,1,3.841459,2,92.5925925926,0.0,0,93.8271604938
400195,83,3.841459,1,73.673870334,26.2702702703,28,84.4793713163
400196,0,3.841459,0,91.7171717172,2147483647,0,91.7171717172
400219,26,3.841459,2,86.2721893491,3.025,14,87.4556213018
400218,107,3.841459,1,70.4845814978,15.3374233129,56,77.8267254038
400356,121,3.841459,1,70.0906344411,41.00625,39,82.6283987915
400355,25,3.841459,1,82.8978622328,10.4516129032,6,87.4109263658
400352,44,3.841459,1,78.3908045977,5.97014925373,23,83.4482758621
400350,47,3.841459,1,74.4923857868,11.0454545455,19,78.0456852792
400351,0,3.841459,2,91.8060200669,0.0,1,91.6387959866
400422,32,3.841459,1,78.3573806881,9.3023255814,11,80.6881243063
400424,47,3.841459,1,75.7611241218,4.32,28,78.2201405152
400425,55,3.841459,1,77.1459227468,9.67901234568,26,80.364806867
400103,80,3.841459,1,73.396424816,22.9357798165,29,78.8643533123
400101,74,3.841459,1,76.1127596439,10.9375,38,81.3056379822
412327,4,3.841459,2,93.063583815,0.166666666667,2,94.2196531792
412489,3,3.841459,2,93.75,1.33333333333,0,97.5
412488,1,3.841459,2,98.75,0.0,0,100.0
412485,1,3.841459,2,93.8271604938,0.5,1,93.8271604938
412484,1,3.841459,2,95.0,0.0,2,93.75
400109,158,3.841459,1,71.0472279261,63.2128712871,44,82.8542094456
400108,24,3.841459,1,83.7647058824,4.11428571429,11,86.8235294118
412481,2,3.841459,2,96.3414634146,0.0,3,95.1219512195
412480,1,3.841459,2,97.5308641975,0.0,0,98.7654320988
412483,0,3.841459,2,93.8271604938,0.5,2,91.3580246914
412482,0,3.841459,2,98.7654320988,0.5,2,96.2962962963
412416,2,3.841459,2,93.9024390244,0.5,0,96.3414634146
400057,6,3.841459,2,89.776733255,1.125,2,90.2467685076
412430,1,3.841459,2,97.5308641975,0.0,2,96.2962962963
412431,0,3.841459,2,96.2962962963,0.0,1,95.0617283951
412432,1,3.841459,2,83.3333333333,0.0,2,82.0512820513
400175,0,3.841459,0,90.8466819222,2147483647,0,90.8466819222
412434,1,3.841459,2,91.4634146341,0.0,2,90.243902439
412435,1,3.841459,2,80.487804878,0.5,1,80.487804878
