,Test Errors,Test Error Rate,Test False Positives,Train Accuracy,Train Size,Test Size,Test Accuracy,Test False Negatives
412214,23,8.01393728223,8,0.924471299094,662,287,91.9860627178,15
412215,17,6.34328358209,11,0.943396226415,636,268,93.6567164179,6
412216,29,10.9848484848,7,0.853781512605,595,264,89.0151515152,22
412309,30,16.9491525424,10,0.873479318735,411,177,83.0508474576,20
412476,2,2.46913580247,2,0.978494623656,186,81,97.5308641975,0
412211,9,3.1914893617,3,0.943076923077,650,282,96.8085106383,6
412212,15,5.30035335689,3,0.956325301205,664,283,94.6996466431,12
412213,27,14.2857142857,6,0.867579908676,438,189,85.7142857143,21
412199,13,4.83271375465,7,0.945482866044,642,269,95.1672862454,6
400392,40,8.84955752212,6,0.914645974782,1031,452,91.1504424779,34
412196,44,15.5477031802,14,0.857798165138,654,283,84.4522968198,30
412195,13,4.72727272727,2,0.9375975039,641,275,95.2727272727,11
412194,24,8.57142857143,6,0.925418569254,657,280,91.4285714286,18
412193,17,6.00706713781,8,0.93665158371,663,283,93.9929328622,9
412192,27,9.81818181818,7,0.933539412674,647,275,90.1818181818,20
412191,32,11.3475177305,5,0.916286149163,657,282,88.6524822695,27
412190,40,14.1342756184,0,0.873456790123,648,283,85.8657243816,40
400121,80,11.9225037258,36,0.90449082859,1581,671,88.0774962742,44
400289,187,22.3150357995,39,0.79417773238,1958,838,77.6849642005,148
400124,193,22.9216152019,49,0.799797263051,1973,842,77.0783847981,144
400024,117,19.696969697,46,0.825396825397,1386,594,80.303030303,71
400025,179,19.2266380236,53,0.83448913546,2163,931,80.7733619764,126
400027,82,13.4426229508,32,0.89562764457,1418,610,86.5573770492,50
400021,155,18.8335358445,35,0.813152400835,1916,823,81.1664641555,120
400029,41,9.83213429257,8,0.901740020471,977,417,90.1678657074,33
412449,2,2.5,2,0.973404255319,188,80,97.5,0
400147,57,13.2250580046,27,0.891411648569,1013,431,86.7749419954,30
412440,9,11.1111111111,0,0.882352941176,187,81,88.8888888889,9
400145,51,11.6438356164,22,0.898821218075,1018,438,88.3561643836,29
400144,137,14.2411642412,30,0.878147482014,2224,962,85.7588357588,107
412445,0,0.0,0,0.967741935484,186,80,100.0,0
400142,78,10.064516129,22,0.890539053905,1818,775,89.935483871,56
412447,0,0.0,0,0.957219251337,187,79,100.0,0
400140,162,16.7355371901,39,0.806566104703,2254,968,83.2644628099,123
412500,2,4.44444444444,2,0.971428571429,105,45,95.5555555556,0
412501,4,14.8148148148,0,0.854838709677,62,27,85.1851851852,4
412502,4,36.3636363636,0,0.88,25,11,63.6363636364,4
400321,65,12.8458498024,25,0.890770533446,1181,506,87.1541501976,40
400320,63,9.33333333333,28,0.907547169811,1590,675,90.6666666667,35
400326,138,15.2823920266,59,0.865678776291,2092,903,84.7176079734,79
400657,62,17.1745152355,44,0.877672209026,842,361,82.8254847645,18
400656,31,9.06432748538,7,0.898089171975,785,342,90.9356725146,24
400655,28,7.8431372549,3,0.895558223289,833,357,92.1568627451,25
400654,50,13.9275766017,3,0.883413461538,832,359,86.0724233983,47
400653,51,14.1666666667,6,0.88995215311,836,360,85.8333333333,45
400652,43,12.2159090909,10,0.897218863362,827,352,87.7840909091,33
400651,48,13.9130434783,9,0.863463969659,791,345,86.0869565217,39
400198,161,22.6123595506,15,0.79223880597,1675,712,77.3876404494,146
412209,24,8.60215053763,10,0.932824427481,655,279,91.3978494624,14
400659,38,11.2759643917,4,0.884223918575,786,337,88.7240356083,34
400199,179,23.7400530504,66,0.799205899036,1763,754,76.2599469496,113
400211,198,20.6896551724,107,0.812669683258,2210,957,79.3103448276,91
412398,9,11.1111111111,9,0.94708994709,189,81,88.8888888889,0
400216,203,20.2392821535,93,0.83176369863,2336,1003,79.7607178465,110
412393,3,3.33333333333,2,0.957142857143,210,90,96.6666666667,1
412392,5,5.68181818182,3,0.927536231884,207,88,94.3181818182,2
412395,7,8.53658536585,7,0.920634920635,189,82,91.4634146341,0
412394,4,4.93827160494,1,0.989361702128,188,81,95.0617283951,3
412397,5,6.09756097561,5,0.951086956522,184,82,93.9024390244,0
412396,16,20.253164557,2,0.782608695652,184,79,79.746835443,14
412399,5,6.17283950617,5,0.872340425532,188,81,93.8271604938,0
400195,79,15.5206286837,35,0.870858113849,1177,509,84.4793713163,44
400196,41,8.28282828283,2,0.917383820998,1162,495,91.7171717172,39
400219,106,12.5443786982,48,0.884263959391,1970,845,87.4556213018,58
400218,151,22.1732745962,75,0.799249530957,1599,681,77.8267254038,76
400356,115,17.3716012085,56,0.817711700065,1547,662,82.6283987915,59
400355,53,12.5890736342,13,0.878172588832,985,421,87.4109263658,40
400352,72,16.5517241379,28,0.904433497537,1015,435,83.4482758621,44
400350,173,21.9543147208,37,0.809601745772,1833,788,78.0456852792,136
400351,50,8.36120401338,22,0.889605734767,1395,598,91.6387959866,28
400422,174,19.3118756937,46,0.803214807599,2053,901,80.6881243063,128
400424,186,21.7798594848,42,0.817908954477,1999,854,78.2201405152,144
400425,183,19.635193133,51,0.833104709648,2187,932,80.364806867,132
400103,201,21.1356466877,52,0.829815895824,2227,951,78.8643533123,149
400101,126,18.6943620178,49,0.819338422392,1572,674,81.3056379822,77
412327,10,5.78034682081,2,0.925187032419,401,173,94.2196531792,8
412489,2,2.5,2,0.96256684492,187,80,97.5,0
412488,0,0.0,0,0.973404255319,188,80,100.0,0
412485,5,6.17283950617,5,0.924731182796,186,81,93.8271604938,0
412484,5,6.25,5,0.968085106383,188,80,93.75,0
400109,167,17.1457905544,63,0.835543766578,2262,974,82.8542094456,104
400108,56,13.1764705882,17,0.885511651469,987,425,86.8235294118,39
412481,4,4.87804878049,4,0.968085106383,188,82,95.1219512195,0
412480,1,1.23456790123,1,0.967741935484,186,81,98.7654320988,0
412483,7,8.64197530864,7,0.957894736842,190,81,91.3580246914,0
412482,3,3.7037037037,3,0.973684210526,190,81,96.2962962963,0
412416,3,3.65853658537,3,0.935483870968,186,82,96.3414634146,0
400057,83,9.75323149236,13,0.908722109533,1972,851,90.2467685076,70
412430,3,3.7037037037,3,0.952380952381,189,81,96.2962962963,0
412431,4,4.93827160494,4,0.962962962963,189,81,95.0617283951,0
412432,14,17.9487179487,0,0.837837837838,185,78,82.0512820513,14
400175,40,9.1533180778,17,0.907480314961,1016,437,90.8466819222,23
412434,8,9.75609756098,8,0.935828877005,187,82,90.243902439,0
412435,16,19.512195122,0,0.851851851852,189,82,80.487804878,16
400170,156,19.6473551637,40,0.823114487249,1843,794,80.3526448363,116
400171,50,6.46830530401,17,0.923034021194,1793,773,93.531694696,33
412438,14,17.5,11,0.829787234043,188,80,82.5,3
400076,151,15.5670103093,45,0.850589777195,2289,970,84.4329896907,106
400075,150,17.6886792453,53,0.827291037261,1986,848,82.3113207547,97
400074,84,17.2131147541,31,0.856007067138,1132,488,82.7868852459,53
400178,157,18.6018957346,39,0.819023136247,1945,844,81.3981042654,118
400179,119,18.2515337423,65,0.814488828707,1477,652,81.7484662577,54
400618,69,19.4366197183,31,0.858880778589,822,355,80.5633802817,38
