,Test Errors,Test Error Rate,Test False Positives,Train Accuracy,Train Size,Test Size,Test Accuracy,Test False Negatives
400175,40,9.1533180778,17,0.906496062992,1016,437,90.8466819222,23
412434,8,9.75609756098,8,0.92513368984,187,82,90.243902439,0
412435,16,19.512195122,0,0.830687830688,189,82,80.487804878,16
400170,191,24.0554156171,7,0.758003255562,1843,794,75.9445843829,184
400171,49,6.33893919793,16,0.921360847741,1793,773,93.6610608021,33
412438,20,25.0,16,0.755319148936,188,80,75.0,4
400076,151,15.5670103093,45,0.850589777195,2289,970,84.4329896907,106
400075,197,23.2311320755,47,0.769889224572,1986,848,76.7688679245,150
400074,122,25.0,27,0.792402826855,1132,488,75.0,95
400178,190,22.5118483412,13,0.762982005141,1945,844,77.4881516588,177
400179,120,18.4049079755,70,0.78740690589,1477,652,81.5950920245,50
400618,95,26.7605633803,95,0.767639902676,822,355,73.2394366197,0
400617,42,11.7647058824,4,0.877551020408,833,357,88.2352941176,38
400616,65,17.7595628415,52,0.825775656325,838,366,82.2404371585,13
400313,37,10.9467455621,8,0.909319899244,794,338,89.0532544379,29
400259,117,23.031496063,17,0.791912384162,1187,508,76.968503937,100
400311,152,24.9589490969,92,0.776504297994,1396,609,75.0410509031,60
400316,298,31.6348195329,298,0.681014952424,2207,942,68.3651804671,0
400314,220,27.2614622057,39,0.733048585158,1873,807,72.7385377943,181
400315,38,7.55467196819,10,0.905090595341,1159,503,92.4453280318,28
412294,22,12.5714285714,6,0.881481481481,405,175,87.4285714286,16
400252,109,12.703962704,38,0.888554216867,1992,858,87.296037296,71
400318,184,18.4738955823,77,0.815517241379,2320,996,81.5261044177,107
412290,26,14.606741573,1,0.835351089588,413,178,85.393258427,25
412292,13,7.38636363636,1,0.890510948905,411,176,92.6136363636,12
412293,11,6.32183908046,2,0.917274939173,411,174,93.6781609195,9
412474,9,10.9756097561,9,0.873015873016,189,82,89.0243902439,0
412429,9,10.9756097561,9,0.883597883598,189,82,89.0243902439,0
412475,1,1.26582278481,1,0.957219251337,187,79,98.7341772152,0
412428,2,2.43902439024,2,0.989473684211,190,82,97.5609756098,0
400663,38,10.6741573034,4,0.870967741935,837,356,89.3258426966,34
400660,53,15.3623188406,19,0.812958435208,818,345,84.6376811594,34
400661,49,14.0804597701,12,0.885225885226,819,348,85.9195402299,37
412477,3,3.65853658537,3,0.931216931217,189,82,96.3414634146,0
412426,1,1.23456790123,1,0.957219251337,187,81,98.7654320988,0
412471,4,4.87804878049,4,0.941798941799,189,82,95.1219512195,0
412423,3,3.7037037037,3,0.957894736842,190,81,96.2962962963,0
412202,34,12.1863799283,0,0.856488549618,655,279,87.8136200717,34
412200,15,5.35714285714,7,0.940345368917,637,280,94.6428571429,8
412421,2,2.53164556962,2,0.978494623656,186,79,97.4683544304,0
412205,74,25.8741258741,74,0.763554216867,664,286,74.1258741259,0
400227,184,27.2592592593,42,0.741671904463,1591,675,72.7407407407,142
400224,46,10.4783599089,5,0.912023460411,1023,439,89.5216400911,41
412208,19,6.90909090909,6,0.927215189873,632,275,93.0909090909,13
400220,33,7.53424657534,14,0.904150197628,1012,438,92.4657534247,19
400221,77,9.06949352179,25,0.897371081901,1978,849,90.9305064782,52
400388,167,16.9371196755,63,0.82125813449,2305,986,83.0628803245,104
400381,150,15.3531218014,12,0.849955869373,2266,977,84.6468781986,138
400380,182,18.533604888,123,0.818853171156,2302,982,81.466395112,59
400387,191,20.9659714599,37,0.805268109125,2126,911,79.0340285401,154
400033,184,27.1386430678,28,0.728070175439,1596,678,72.8613569322,156
400032,34,7.87037037037,7,0.91707798618,1013,432,92.1296296296,27
400031,103,23.732718894,21,0.817288801572,1018,434,76.267281106,82
400030,208,24.6153846154,205,0.742973939704,1957,845,75.3846153846,3
412470,12,14.8148148148,0,0.843243243243,185,81,85.1851851852,12
400036,96,11.2018669778,28,0.881822734101,1997,857,88.7981330222,68
412472,9,11.25,9,0.904761904762,189,80,88.75,0
