,Total False Negatives,Total False Positives,Total Errors,Error Rate,Accuracy,Dataset Size
400660,64,5,69,20.0,80.0,345
400661,37,12,49,14.0804597701,85.9195402299,348
412477,1,0,1,1.21951219512,98.7804878049,82
412426,0,1,1,1.23456790123,98.7654320988,81
412471,0,3,3,3.65853658537,96.3414634146,82
412423,3,3,6,7.40740740741,92.5925925926,81
412202,33,0,33,11.8279569892,88.1720430108,279
412200,8,8,16,5.71428571429,94.2857142857,280
412421,0,2,2,2.53164556962,97.4683544304,79
412205,40,38,78,27.2727272727,72.7272727273,286
400227,142,42,184,27.2592592593,72.7407407407,675
400224,41,4,45,10.2505694761,89.7494305239,439
412208,14,6,20,7.27272727273,92.7272727273,275
400220,19,14,33,7.53424657534,92.4657534247,438
400221,52,24,76,8.95170789164,91.0482921084,849
400388,104,63,167,16.9371196755,83.0628803245,986
400381,138,12,150,15.3531218014,84.6468781986,977
400380,198,42,240,24.4399185336,75.5600814664,982
400387,154,37,191,20.9659714599,79.0340285401,911
400033,181,9,190,28.0235988201,71.9764011799,678
400032,27,7,34,7.87037037037,92.1296296296,432
400031,101,9,110,25.3456221198,74.6543778802,434
400030,330,15,345,40.8284023669,59.1715976331,845
412470,10,3,13,16.049382716,83.950617284,81
400036,68,27,95,11.0851808635,88.9148191365,857
412472,1,7,8,10.0,90.0,80
412473,1,6,7,8.53658536585,91.4634146341,82
400039,67,13,80,12.9449838188,87.0550161812,618
400038,39,7,46,10.7476635514,89.2523364486,428
412478,3,1,4,4.87804878049,95.1219512195,82
412479,1,4,5,6.09756097561,93.9024390244,82
412275,12,7,19,10.7344632768,89.2655367232,177
412272,18,6,24,13.5593220339,86.4406779661,177
412379,13,5,18,12.2448979592,87.7551020408,147
412270,12,3,15,8.42696629213,91.5730337079,178
412271,19,4,23,13.0681818182,86.9318181818,176
400133,166,20,186,22.7662178703,77.2337821297,817
400130,193,6,199,26.9647696477,73.0352303523,738
400137,39,9,48,9.73630831643,90.2636916836,493
400134,14,70,84,16.5354330709,83.4645669291,508
400100,176,52,228,23.6269430052,76.3730569948,965
412420,1,5,6,7.59493670886,92.4050632911,79
400090,203,6,209,29.6033994334,70.3966005666,706
412278,23,0,23,13.2183908046,86.7816091954,174
412487,0,1,1,1.25,98.75,80
400046,27,13,40,5.96125186289,94.0387481371,671
400047,148,5,153,24.8780487805,75.1219512195,615
412486,2,2,4,4.87804878049,95.1219512195,82
400042,259,7,266,39.88005997,60.11994003,667
400048,232,12,244,29.3622141998,70.6377858002,831
412010,47,1,48,14.4144144144,85.5855855856,333
412011,18,11,29,9.66666666667,90.3333333333,300
400622,27,10,37,10.7558139535,89.2441860465,344
400623,48,1,49,13.7640449438,86.2359550562,356
400626,26,9,35,9.74930362117,90.2506963788,359
400627,26,6,32,9.27536231884,90.7246376812,345
400628,82,15,97,26.7217630854,73.2782369146,363
412217,33,1,34,11.8881118881,88.1118881119,286
400262,152,24,176,18.5263157895,81.4736842105,950
400263,156,7,163,23.4870317003,76.5129682997,694
400189,262,4,266,26.8686868687,73.1313131313,990
400266,289,26,315,45.7848837209,54.2151162791,688
400267,63,18,81,9.46261682243,90.5373831776,856
400183,329,19,348,40.4651162791,59.5348837209,860
400185,92,7,99,19.9596774194,80.0403225806,496
400184,138,6,144,23.7232289951,76.2767710049,607
400436,169,23,192,22.695035461,77.304964539,846
400435,181,24,205,20.5823293173,79.4176706827,996
400433,38,15,53,11.2288135593,88.7711864407,472
400348,39,83,122,14.2857142857,85.7142857143,854
400431,57,22,79,10.3403141361,89.6596858639,764
400345,209,17,226,44.2270058708,55.7729941292,511
400344,183,24,207,21.835443038,78.164556962,948
400347,216,10,226,26.4018691589,73.5981308411,856
400346,201,3,204,30.3120356612,69.6879643388,673
400341,58,7,65,14.8401826484,85.1598173516,438
400340,145,19,164,16.5489404642,83.4510595358,991
400439,159,18,177,19.3020719738,80.6979280262,917
400342,61,6,67,13.2411067194,86.7588932806,506
400310,222,14,236,25.6800870511,74.3199129489,919
412331,22,4,26,15.7575757576,84.2424242424,165
412239,12,10,22,7.8853046595,92.1146953405,279
412231,43,23,66,23.0769230769,76.9230769231,286
412236,9,8,17,6.00706713781,93.9929328622,283
400165,156,90,246,25.1533742331,74.8466257669,978
400008,240,27,267,29.3729372937,70.6270627063,909
400009,147,4,151,27.962962963,72.037037037,540
400160,264,9,273,32.6555023923,67.3444976077,836
400163,192,14,206,25.6218905473,74.3781094527,804
400162,51,10,61,13.9588100686,86.0411899314,437
412427,1,2,3,3.65853658537,96.3414634146,82
400003,233,10,243,26.4130434783,73.5869565217,920
412424,0,8,8,9.87654320988,90.1234567901,81
400006,39,28,67,15.5452436195,84.4547563805,431
412422,0,4,4,4.87804878049,95.1219512195,82
400004,47,25,72,10.5571847507,89.4428152493,682
400005,36,19,55,11.0220440882,88.9779559118,499
400378,211,19,230,24.3128964059,75.6871035941,946
